DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,LAGOA DA CONFUSÃO,Cerrado,,,,-10.75565,-49.58366,0.3
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,LAGOA DA CONFUSÃO,Cerrado,,,,-10.75502,-49.58755,0.9
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,LAGOA DA CONFUSÃO,Cerrado,,,,-10.72678,-49.49915,0.6
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,LAGOA DA CONFUSÃO,Cerrado,,,,-10.72396,-49.4947,1.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,,,,-19.0435,-57.20904,1.8
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,LAGOA DA CONFUSÃO,Cerrado,,,,-10.72332,-49.49856,1.6
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.99392,-50.1377,3.3
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.99034,-50.13709,3.3
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.98965,-50.14125,2.0
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.98606,-50.14064,5.9
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.98481,-50.17041,3.4
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.9826,-50.16147,5.1
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.98178,-50.14419,5.9
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.98122,-50.1698,2.4
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.97901,-50.16085,5.1
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.97832,-50.16502,2.4
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.97819,-50.14358,3.0
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.9775,-50.14774,7.5
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.97391,-50.14713,7.5
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.97322,-50.15129,7.5
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.97252,-50.15546,2.1
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.97183,-50.15963,2.1
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.96963,-50.15068,2.6
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.96893,-50.15485,4.8
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.96824,-50.15902,4.8
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.96534,-50.15424,4.8
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.96465,-50.1584,4.8
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-9.93623,-50.23972,1.7
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-10.01391,-50.12827,2.3
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-10.01032,-50.12767,2.4
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-10.00964,-50.13183,2.4
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,PIUM,Cerrado,,,,-10.00605,-50.13122,2.4
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,DUERÉ,Cerrado,,,,-11.48164,-49.47566,1.2
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,DUERÉ,Cerrado,,,,-11.47821,-49.47507,1.2
2024/06/21 04:27:00,NOAA-20,Brasil,TOCANTINS,LAGOA DA CONFUSÃO,Cerrado,,,,-11.46699,-50.39308,2.5
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,DUERÉ,Cerrado,,,,-11.23814,-49.44467,1.2
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,DUERÉ,Cerrado,,,,-11.23752,-49.44849,1.2
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,DUERÉ,Cerrado,,,,-11.23746,-49.44381,1.0
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,DUERÉ,Cerrado,,,,-11.23683,-49.44763,1.0
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,DUERÉ,Cerrado,,,,-11.15286,-49.72783,1.0
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,DUERÉ,Cerrado,,,,-11.15222,-49.73174,0.4
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,SANTA RITA DO TOCANTINS,Cerrado,,,,-11.08022,-49.52858,0.9
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,SANTA RITA DO TOCANTINS,Cerrado,,,,-11.07959,-49.53243,0.9
2024/06/21 04:25:00,NOAA-20,Brasil,TOCANTINS,SANTA RITA DO TOCANTINS,Cerrado,,,,-11.07084,-49.49924,1.2
2024/06/21 04:27:00,NOAA-20,Brasil,GOIÁS,NOVO PLANALTO,Cerrado,,,,-13.07539,-49.85984,1.2
2024/06/21 04:27:00,NOAA-20,Brasil,GOIÁS,NOVO PLANALTO,Cerrado,,,,-13.07476,-49.86368,0.6
2024/06/21 04:27:00,NOAA-20,Brasil,GOIÁS,MOZARLÂNDIA,Cerrado,,,,-14.79731,-50.58834,1.8
2024/06/21 04:27:00,NOAA-20,Brasil,GOIÁS,JUSSARA,Cerrado,,,,-15.10844,-51.51813,2.2
2024/06/21 04:27:00,NOAA-20,Brasil,GOIÁS,JUSSARA,Cerrado,,,,-15.10771,-51.52244,2.2
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,TRÊS LAGOAS,Mata Atlântica,,,,-20.99487,-51.79279,1.7
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,TRÊS LAGOAS,Mata Atlântica,,,,-20.79029,-51.67299,0.7
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,BATAGUASSU,Mata Atlântica,,,,-21.75996,-52.17476,0.6
2024/06/21 04:23:00,NOAA-20,Brasil,PARÁ,GOIANÉSIA DO PARÁ,Amazônia,,,,-3.70367,-49.17971,2.4
2024/06/21 04:23:00,NOAA-20,Brasil,PARÁ,GOIANÉSIA DO PARÁ,Amazônia,,,,-3.70296,-49.18407,2.7
2024/06/21 04:23:00,NOAA-20,Brasil,PARÁ,GOIANÉSIA DO PARÁ,Amazônia,,,,-3.69999,-49.17912,2.3
2024/06/21 04:23:00,NOAA-20,Brasil,PARÁ,GOIANÉSIA DO PARÁ,Amazônia,,,,-3.69928,-49.1835,2.5
2024/06/21 04:23:00,NOAA-20,Brasil,PARÁ,MOJU,Amazônia,,,,-2.81469,-49.13823,1.6
2024/06/21 04:23:00,NOAA-20,Brasil,PARÁ,MOJU,Amazônia,,,,-2.81269,-49.13993,1.1
2024/06/21 04:23:00,NOAA-20,Brasil,PARÁ,MOJU,Amazônia,,,,-2.45209,-49.11959,1.7
2024/06/21 04:23:00,NOAA-20,Brasil,PARÁ,BREU BRANCO,Amazônia,,,,-3.8154,-49.25474,1.5
2024/06/21 04:25:00,NOAA-20,Brasil,PARÁ,BANNACH,Amazônia,,,,-7.41363,-50.9158,1.1
2024/06/21 04:25:00,NOAA-20,Brasil,PARÁ,BANNACH,Amazônia,,,,-7.41198,-50.9189,1.6
2024/06/21 04:25:00,NOAA-20,Brasil,PARÁ,SANTANA DO ARAGUAIA,Amazônia,,,,-9.44011,-50.55623,1.1
2024/06/21 04:25:00,NOAA-20,Brasil,PARÁ,SANTANA DO ARAGUAIA,Amazônia,,,,-9.43936,-50.56067,1.1
2024/06/21 04:25:00,NOAA-20,Brasil,PARÁ,SANTANA DO ARAGUAIA,Amazônia,,,,-9.14416,-50.5561,0.8
2024/06/21 04:25:00,NOAA-20,Brasil,PARÁ,CUMARU DO NORTE,Amazônia,,,,-8.73713,-51.20295,1.5
2024/06/21 04:25:00,NOAA-20,Brasil,PARÁ,CUMARU DO NORTE,Amazônia,,,,-8.73631,-51.20784,1.5
2024/06/21 04:25:00,NOAA-20,Brasil,MATO GROSSO,CONFRESA,Amazônia,,,,-10.73369,-51.40029,1.9
2024/06/21 04:25:00,NOAA-20,Brasil,MATO GROSSO,CONFRESA,Amazônia,,,,-10.73288,-51.40502,1.9
2024/06/21 04:25:00,NOAA-20,Brasil,MATO GROSSO,CONFRESA,Amazônia,,,,-10.23489,-51.6783,2.5
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Cerrado,,,,-11.46671,-51.15449,6.4
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Cerrado,,,,-11.463,-51.15384,3.3
